20180301 054700;1.219210;1.219370;1.219180;1.219370;0
20180301 054800;1.219400;1.219410;1.219240;1.219240;0
20180301 054900;1.219230;1.219230;1.219110;1.219120;0
20180301 055000;1.219160;1.219590;1.219160;1.219380;0
20180301 055100;1.219390;1.219530;1.219360;1.219470;0
20180301 055200;1.219480;1.219520;1.219320;1.219320;0
20180301 055300;1.219340;1.219470;1.219340;1.219410;0
20180301 055400;1.219400;1.219400;1.219180;1.219210;0
20180301 055500;1.219220;1.219390;1.219210;1.219320;0
20180301 055600;1.219320;1.219410;1.219310;1.219320;0
20180301 055700;1.219310;1.219320;1.219240;1.219250;0
20180301 055800;1.219240;1.219240;1.219060;1.219060;0
20180301 055900;1.219070;1.219080;1.218770;1.218780;0
20180301 060000;1.218760;1.218810;1.218670;1.218670;0
20180301 060100;1.218700;1.218700;1.218290;1.218340;0
20180301 060200;1.218360;1.218540;1.218360;1.218420;0
20180301 060300;1.218420;1.218460;1.218360;1.218400;0
20180301 060400;1.218410;1.218520;1.218360;1.218360;0
20180301 060500;1.218350;1.218430;1.218320;1.218390;0
20180301 060600;1.218390;1.218680;1.218380;1.218680;0
20180301 060700;1.218710;1.218710;1.218340;1.218360;0
20180301 060800;1.218360;1.218500;1.218360;1.218480;0
20180301 060900;1.218480;1.218510;1.218370;1.218480;0
20180301 061000;1.218490;1.218530;1.218360;1.218530;0
20180301 061100;1.218520;1.218580;1.218460;1.218470;0
20180301 061200;1.218460;1.218490;1.218240;1.218330;0
20180301 061300;1.218330;1.218340;1.218010;1.218220;0
20180301 061400;1.218230;1.218480;1.218220;1.218480;0
20180301 061500;1.218490;1.218490;1.218370;1.218440;0
20180301 061600;1.218450;1.218460;1.218300;1.218320;0
20180301 061700;1.218320;1.218330;1.218260;1.218310;0
20180301 061800;1.218350;1.218350;1.218150;1.218170;0
20180301 061900;1.218180;1.218260;1.218110;1.218260;0
20180301 062000;1.218260;1.218300;1.218110;1.218110;0
20180301 062100;1.218120;1.218190;1.218090;1.218170;0
20180301 062200;1.218220;1.218360;1.218200;1.218320;0
20180301 062300;1.218340;1.218520;1.218340;1.218510;0
20180301 062400;1.218500;1.218710;1.218490;1.218700;0
20180301 062500;1.218690;1.218830;1.218650;1.218820;0
20180301 062600;1.218810;1.218900;1.218720;1.218770;0
